,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
125,126,1,3,male,1,0,C,Master,Couple,10-25,0-16
126,127,0,3,male,0,0,Q,Mr,Single,0-10,16-32
127,128,1,3,male,0,0,S,Mr,Single,0-10,16-32
128,129,1,3,female,1,1,C,Miss,Groups,10-25,16-32
129,130,0,3,male,0,0,S,Mr,Single,0-10,32-48
130,131,0,3,male,0,0,C,Mr,Single,0-10,32-48
131,132,0,3,male,0,0,S,Mr,Single,0-10,16-32
132,133,0,3,female,1,0,S,Mrs,Couple,10-25,32-48
133,134,1,2,female,1,0,S,Mrs,Couple,25-40,16-32
134,135,0,2,male,0,0,S,Mr,Single,10-25,16-32
135,136,0,2,male,0,0,C,Mr,Single,10-25,16-32
136,137,1,1,female,0,2,S,Miss,Groups,25-40,16-32
137,138,0,1,male,1,0,S,Mr,Couple,40-70,32-48
138,139,0,3,male,0,0,S,Mr,Couple,0-10,0-16
139,140,0,1,male,0,0,C,Mr,Couple,70-100,16-32
140,141,0,3,female,0,2,C,Mrs,Groups,10-25,16-32
141,142,1,3,female,0,0,S,Miss,Single,0-10,16-32
142,143,1,3,female,1,0,S,Mrs,Couple,10-25,16-32
143,144,0,3,male,0,0,Q,Mr,Single,0-10,16-32
144,145,0,2,male,0,0,S,Mr,Single,10-25,16-32
145,146,0,2,male,1,1,S,Mr,Groups,25-40,16-32
146,147,1,3,male,0,0,S,Mr,Single,0-10,16-32
147,148,0,3,female,2,2,S,Miss,Large Group,25-40,0-16
148,149,0,2,male,0,2,S,Mr,Groups,25-40,32-48
149,150,0,2,male,0,0,S,Rare Title,Single,10-25,32-48
150,151,0,2,male,0,0,S,Rare Title,Single,10-25,48-64
151,152,1,1,female,1,0,S,Mrs,Couple,40-70,16-32
152,153,0,3,male,0,0,S,Mr,Single,0-10,48-64
153,154,0,3,male,0,2,S,Mr,Groups,10-25,32-48
154,155,0,3,male,0,0,S,Mr,Single,0-10,16-32
155,156,0,1,male,0,1,C,Mr,Couple,40-70,48-64
156,157,1,3,female,0,0,Q,Miss,Single,0-10,0-16
157,158,0,3,male,0,0,S,Mr,Single,0-10,16-32
158,159,0,3,male,0,0,S,Mr,Single,0-10,16-32
159,160,0,3,male,8,2,S,Master,Large Group,40-70,0-16
160,161,0,3,male,0,1,S,Mr,Couple,10-25,32-48
161,162,1,2,female,0,0,S,Mrs,Single,10-25,32-48
162,163,0,3,male,0,0,S,Mr,Single,0-10,16-32
163,164,0,3,male,0,0,S,Mr,Single,0-10,16-32
164,165,0,3,male,4,1,S,Master,Large Group,25-40,0-16
165,166,1,3,male,0,2,S,Master,Groups,10-25,0-16
166,167,1,1,female,0,1,S,Mrs,Couple,40-70,32-48
167,168,0,3,female,1,4,S,Mrs,Large Group,25-40,32-48
168,169,0,1,male,0,0,S,Mr,Single,25-40,32-48
169,170,0,3,male,0,0,S,Mr,Large Group,40-70,16-32
170,171,0,1,male,0,0,S,Mr,Single,25-40,48-64
171,172,0,3,male,4,1,Q,Master,Large Group,25-40,0-16
172,173,1,3,female,1,1,S,Miss,Groups,10-25,0-16
173,174,0,3,male,0,0,S,Mr,Single,0-10,16-32
174,175,0,1,male,0,0,C,Mr,Single,25-40,48-64
175,176,0,3,male,1,1,S,Mr,Groups,0-10,16-32
176,177,0,3,male,3,1,S,Master,Large Group,25-40,0-16
177,178,0,1,female,0,0,C,Miss,Single,25-40,48-64
178,179,0,2,male,0,0,S,Mr,Single,10-25,16-32
179,180,0,3,male,0,0,S,Mr,Groups,0-10,32-48
180,181,0,3,female,8,2,S,Miss,Large Group,40-70,16-32
181,182,0,2,male,0,0,C,Mr,Single,10-25,16-32
182,183,0,3,male,4,2,S,Master,Large Group,25-40,0-16
183,184,1,2,male,2,1,S,Master,Groups,25-40,0-16
184,185,1,3,female,0,2,S,Miss,Groups,10-25,0-16
185,186,0,1,male,0,0,S,Mr,Single,40-70,32-48
186,187,1,3,female,1,0,Q,Mrs,Couple,10-25,16-32
187,188,1,1,male,0,0,S,Mr,Single,25-40,32-48
188,189,0,3,male,1,1,Q,Mr,Groups,10-25,32-48
189,190,0,3,male,0,0,S,Mr,Single,0-10,32-48
190,191,1,2,female,0,0,S,Mrs,Single,10-25,16-32
191,192,0,2,male,0,0,S,Mr,Single,10-25,16-32
192,193,1,3,female,1,0,S,Miss,Couple,0-10,16-32
193,194,1,2,male,1,1,S,Master,Groups,25-40,0-16
194,195,1,1,female,0,0,C,Mrs,Single,25-40,32-48
195,196,1,1,female,0,0,C,Miss,Couple,100+,48-64
196,197,0,3,male,0,0,Q,Mr,Single,0-10,16-32
197,198,0,3,male,0,1,S,Mr,Couple,0-10,32-48
198,199,1,3,female,0,0,Q,Miss,Single,0-10,16-32
199,200,0,2,female,0,0,S,Miss,Single,10-25,16-32
200,201,0,3,male,0,0,S,Mr,Single,0-10,16-32
201,202,0,3,male,8,2,S,Mr,Large Group,40-70,16-32
202,203,0,3,male,0,0,S,Mr,Single,0-10,32-48
203,204,0,3,male,0,0,C,Mr,Single,0-10,32-48
204,205,1,3,male,0,0,S,Mr,Single,0-10,16-32
205,206,0,3,female,0,1,S,Miss,Couple,10-25,0-16
206,207,0,3,male,1,0,S,Mr,Couple,10-25,16-32
207,208,1,3,male,0,0,C,Mr,Couple,10-25,16-32
208,209,1,3,female,0,0,Q,Miss,Single,0-10,0-16
209,210,1,1,male,0,0,C,Mr,Single,25-40,32-48
210,211,0,3,male,0,0,S,Mr,Single,0-10,16-32
211,212,1,2,female,0,0,S,Miss,Single,10-25,32-48
212,213,0,3,male,0,0,S,Mr,Single,0-10,16-32
213,214,0,2,male,0,0,S,Mr,Single,10-25,16-32
214,215,0,3,male,1,0,Q,Mr,Couple,0-10,16-32
215,216,1,1,female,1,0,C,Miss,Groups,100+,16-32
216,217,1,3,female,0,0,S,Miss,Single,0-10,16-32
217,218,0,2,male,1,0,S,Mr,Couple,25-40,32-48
218,219,1,1,female,0,0,C,Miss,Single,70-100,16-32
219,220,0,2,male,0,0,S,Mr,Single,10-25,16-32
220,221,1,3,male,0,0,S,Mr,Single,0-10,0-16
221,222,0,2,male,0,0,S,Mr,Single,10-25,16-32
222,223,0,3,male,0,0,S,Mr,Single,0-10,48-64
223,224,0,3,male,0,0,S,Mr,Single,0-10,16-32
224,225,1,1,male,1,0,S,Mr,Couple,70-100,32-48
225,226,0,3,male,0,0,S,Mr,Single,0-10,16-32
226,227,1,2,male,0,0,S,Mr,Single,10-25,16-32
227,228,0,3,male,0,0,S,Mr,Single,0-10,16-32
228,229,0,2,male,0,0,S,Mr,Single,10-25,16-32
229,230,0,3,female,3,1,S,Miss,Large Group,25-40,16-32
230,231,1,1,female,1,0,S,Mrs,Couple,70-100,32-48
231,232,0,3,male,0,0,S,Mr,Single,0-10,16-32
232,233,0,2,male,0,0,S,Mr,Single,10-25,48-64
233,234,1,3,female,4,2,S,Miss,Large Group,25-40,0-16
234,235,0,2,male,0,0,S,Mr,Single,10-25,16-32
235,236,0,3,female,0,0,S,Miss,Single,0-10,16-32
236,237,0,2,male,1,0,S,Mr,Couple,25-40,32-48
237,238,1,2,female,0,2,S,Miss,Groups,25-40,0-16
238,239,0,2,male,0,0,S,Mr,Single,10-25,16-32
239,240,0,2,male,0,0,S,Mr,Single,10-25,32-48
240,241,0,3,female,1,0,C,Miss,Couple,10-25,16-32
241,242,1,3,female,1,0,Q,Miss,Couple,10-25,16-32
242,243,0,2,male,0,0,S,Mr,Single,10-25,16-32
243,244,0,3,male,0,0,S,Mr,Single,0-10,16-32
244,245,0,3,male,0,0,C,Mr,Single,0-10,16-32
245,246,0,1,male,2,0,Q,Rare Title,Groups,70-100,32-48
246,247,0,3,female,0,0,S,Miss,Single,0-10,16-32
247,248,1,2,female,0,2,S,Mrs,Groups,10-25,16-32
248,249,1,1,male,1,1,S,Mr,Groups,40-70,32-48
249,250,0,2,male,1,0,S,Rare Title,Couple,25-40,48-64
250,251,0,3,male,0,0,S,Mr,Single,0-10,16-32
251,252,0,3,female,1,1,S,Mrs,Groups,10-25,16-32
252,253,0,1,male,0,0,S,Mr,Single,25-40,48-64
253,254,0,3,male,1,0,S,Mr,Couple,10-25,16-32
254,255,0,3,female,0,2,S,Mrs,Groups,10-25,32-48
255,256,1,3,female,0,2,C,Mrs,Groups,10-25,16-32
256,257,1,1,female,0,0,C,Mrs,Single,70-100,32-48
257,258,1,1,female,0,0,S,Miss,Groups,70-100,16-32
258,259,1,1,female,0,0,C,Miss,Groups,100+,32-48
259,260,1,2,female,0,1,S,Mrs,Couple,25-40,48-64
260,261,0,3,male,0,0,Q,Mr,Single,0-10,16-32
261,262,1,3,male,4,2,S,Master,Large Group,25-40,0-16
262,263,0,1,male,1,1,S,Mr,Groups,70-100,48-64
263,264,0,1,male,0,0,S,Mr,Single,40-70,32-48
264,265,0,3,female,0,0,Q,Miss,Single,0-10,16-32
265,266,0,2,male,0,0,S,Mr,Single,10-25,32-48
266,267,0,3,male,4,1,S,Mr,Large Group,25-40,0-16
267,268,1,3,male,1,0,S,Mr,Couple,0-10,16-32
268,269,1,1,female,0,1,S,Mrs,Groups,100+,48-64
269,270,1,1,female,0,0,S,Miss,Groups,100+,32-48
270,271,0,1,male,0,0,S,Mr,Couple,25-40,32-48
271,272,1,3,male,0,0,S,Mr,Groups,0-10,16-32
272,273,1,2,female,0,1,S,Mrs,Couple,10-25,32-48
273,274,0,1,male,0,1,C,Mr,Couple,25-40,32-48
274,275,1,3,female,0,0,Q,Miss,Single,0-10,16-32
275,276,1,1,female,1,0,S,Miss,Groups,70-100,48-64
276,277,0,3,female,0,0,S,Miss,Single,0-10,32-48
277,278,0,2,male,0,0,S,Mr,Groups,10-25,16-32
278,279,0,3,male,4,1,Q,Master,Large Group,25-40,0-16
279,280,1,3,female,1,1,S,Mrs,Groups,10-25,32-48
280,281,0,3,male,0,0,Q,Mr,Single,0-10,64+
281,282,0,3,male,0,0,S,Mr,Single,0-10,16-32
282,283,0,3,male,0,0,S,Mr,Single,0-10,0-16
283,284,1,3,male,0,0,S,Mr,Single,0-10,16-32
284,285,0,1,male,0,0,S,Mr,Single,25-40,32-48
285,286,0,3,male,0,0,C,Mr,Single,0-10,32-48
286,287,1,3,male,0,0,S,Mr,Single,0-10,16-32
287,288,0,3,male,0,0,S,Mr,Single,0-10,16-32
288,289,1,2,male,0,0,S,Mr,Single,10-25,32-48
289,290,1,3,female,0,0,Q,Miss,Single,0-10,16-32
290,291,1,1,female,0,0,S,Miss,Couple,70-100,16-32
291,292,1,1,female,1,0,C,Mrs,Couple,70-100,16-32
292,293,0,2,male,0,0,C,Mr,Single,10-25,32-48
293,294,0,3,female,0,0,S,Miss,Single,0-10,16-32
294,295,0,3,male,0,0,S,Mr,Single,0-10,16-32
295,296,0,1,male,0,0,C,Mr,Single,25-40,32-48
296,297,0,3,male,0,0,C,Mr,Single,0-10,16-32
297,298,0,1,female,1,2,S,Miss,Groups,100+,0-16
298,299,1,1,male,0,0,S,Mr,Single,25-40,32-48
299,300,1,1,female,0,1,C,Mrs,Couple,100+,48-64
300,301,1,3,female,0,0,Q,Miss,Single,0-10,16-32
301,302,1,3,male,2,0,Q,Mr,Groups,10-25,16-32
302,303,0,3,male,0,0,S,Mr,Groups,0-10,16-32
303,304,1,2,female,0,0,Q,Miss,Single,10-25,16-32
304,305,0,3,male,0,0,S,Mr,Single,0-10,16-32
305,306,1,1,male,1,2,S,Master,Groups,100+,0-16
306,307,1,1,female,0,0,C,Miss,Groups,100+,16-32
307,308,1,1,female,1,0,C,Mrs,Couple,100+,16-32
308,309,0,2,male,1,0,C,Mr,Couple,10-25,16-32
309,310,1,1,female,0,0,C,Miss,Couple,40-70,16-32
310,311,1,1,female,0,0,C,Miss,Couple,70-100,16-32
311,312,1,1,female,2,2,C,Miss,Large Group,100+,16-32
312,313,0,2,female,1,1,S,Mrs,Groups,25-40,16-32
313,314,0,3,male,0,0,S,Mr,Single,0-10,16-32
314,315,0,2,male,1,1,S,Mr,Groups,25-40,32-48
315,316,1,3,female,0,0,S,Miss,Single,0-10,16-32
316,317,1,2,female,1,0,S,Mrs,Couple,25-40,16-32
317,318,0,2,male,0,0,S,Rare Title,Single,10-25,48-64
318,319,1,1,female,0,2,S,Miss,Groups,100+,16-32
319,320,1,1,female,1,1,C,Mrs,Groups,100+,32-48
320,321,0,3,male,0,0,S,Mr,Single,0-10,16-32
321,322,0,3,male,0,0,S,Mr,Single,0-10,16-32
322,323,1,2,female,0,0,Q,Miss,Single,10-25,16-32
323,324,1,2,female,1,1,S,Mrs,Groups,25-40,16-32
324,325,0,3,male,8,2,S,Mr,Large Group,40-70,16-32
325,326,1,1,female,0,0,C,Miss,Groups,100+,32-48
326,327,0,3,male,0,0,S,Mr,Single,0-10,48-64
327,328,1,2,female,0,0,S,Mrs,Single,10-25,32-48
328,329,1,3,female,1,1,S,Mrs,Groups,10-25,16-32
329,330,1,1,female,0,1,C,Miss,Couple,40-70,0-16
330,331,1,3,female,2,0,Q,Miss,Groups,10-25,16-32
331,332,0,1,male,0,0,S,Mr,Single,25-40,32-48
332,333,0,1,male,0,1,S,Mr,Groups,100+,32-48
333,334,0,3,male,2,0,S,Mr,Groups,10-25,0-16
334,335,1,1,female,1,0,S,Mrs,Couple,100+,32-48
335,336,0,3,male,0,0,S,Mr,Single,0-10,16-32
336,337,0,1,male,1,0,S,Mr,Couple,40-70,16-32
337,338,1,1,female,0,0,C,Miss,Couple,100+,32-48
338,339,1,3,male,0,0,S,Mr,Single,0-10,32-48
339,340,0,1,male,0,0,S,Mr,Single,25-40,32-48
340,341,1,2,male,1,1,S,Master,Groups,25-40,0-16
341,342,1,1,female,3,2,S,Miss,Large Group,100+,16-32
342,343,0,2,male,0,0,S,Mr,Single,10-25,16-32
343,344,0,2,male,0,0,S,Mr,Single,10-25,16-32
344,345,0,2,male,0,0,S,Mr,Single,10-25,32-48
345,346,1,2,female,0,0,S,Miss,Single,10-25,16-32
346,347,1,2,female,0,0,S,Miss,Single,10-25,32-48
347,348,1,3,female,1,0,S,Mrs,Couple,10-25,16-32
348,349,1,3,male,1,1,S,Master,Groups,10-25,0-16
349,350,0,3,male,0,0,S,Mr,Single,0-10,32-48
350,351,0,3,male,0,0,S,Mr,Single,0-10,16-32
351,352,0,1,male,0,0,S,Mr,Single,25-40,32-48
352,353,0,3,male,1,1,C,Mr,Groups,0-10,0-16
353,354,0,3,male,1,0,S,Mr,Couple,10-25,16-32
354,355,0,3,male,0,0,C,Mr,Single,0-10,16-32
355,356,0,3,male,0,0,S,Mr,Single,0-10,16-32
356,357,1,1,female,0,1,S,Miss,Couple,40-70,16-32
357,358,0,2,female,0,0,S,Miss,Single,10-25,32-48
358,359,1,3,female,0,0,Q,Miss,Single,0-10,16-32
359,360,1,3,female,0,0,Q,Miss,Single,0-10,16-32
360,361,0,3,male,1,4,S,Mr,Large Group,25-40,32-48
361,362,0,2,male,1,0,C,Mr,Couple,25-40,16-32
362,363,0,3,female,0,1,C,Mrs,Couple,10-25,32-48
363,364,0,3,male,0,0,S,Mr,Single,0-10,32-48
364,365,0,3,male,1,0,Q,Mr,Couple,10-25,16-32
365,366,0,3,male,0,0,S,Mr,Single,0-10,16-32
366,367,1,1,female,1,0,C,Mrs,Couple,70-100,48-64
367,368,1,3,female,0,0,C,Mrs,Single,0-10,16-32
368,369,1,3,female,0,0,Q,Miss,Single,0-10,16-32
369,370,1,1,female,0,0,C,Mrs,Couple,40-70,16-32
370,371,1,1,male,1,0,C,Mr,Couple,40-70,16-32
371,372,0,3,male,1,0,S,Mr,Couple,0-10,16-32
372,373,0,3,male,0,0,S,Mr,Single,0-10,16-32
373,374,0,1,male,0,0,C,Mr,Groups,100+,16-32
374,375,0,3,female,3,1,S,Miss,Large Group,10-25,0-16
375,376,1,1,female,1,0,C,Mrs,Couple,70-100,32-48
376,377,1,3,female,0,0,S,Miss,Single,0-10,16-32
377,378,0,1,male,0,2,C,Mr,Groups,100+,16-32
378,379,0,3,male,0,0,C,Mr,Single,0-10,16-32
379,380,0,3,male,0,0,S,Mr,Single,0-10,16-32
380,381,1,1,female,0,0,C,Miss,Groups,100+,32-48
381,382,1,3,female,0,2,C,Miss,Groups,10-25,0-16
382,383,0,3,male,0,0,S,Mr,Single,0-10,16-32
383,384,1,1,female,1,0,S,Mrs,Couple,40-70,32-48
384,385,0,3,male,0,0,S,Mr,Single,0-10,16-32
385,386,0,2,male,0,0,S,Mr,Large Group,70-100,16-32
386,387,0,3,male,5,2,S,Master,Large Group,40-70,0-16
387,388,1,2,female,0,0,S,Miss,Single,10-25,32-48
388,389,0,3,male,0,0,Q,Mr,Single,0-10,16-32
389,390,1,2,female,0,0,C,Miss,Single,10-25,16-32
390,391,1,1,male,1,2,S,Mr,Groups,100+,32-48
391,392,1,3,male,0,0,S,Mr,Single,0-10,16-32
392,393,0,3,male,2,0,S,Mr,Groups,0-10,16-32
393,394,1,1,female,1,0,C,Miss,Groups,100+,16-32
394,395,1,3,female,0,2,S,Mrs,Groups,10-25,16-32
395,396,0,3,male,0,0,S,Mr,Single,0-10,16-32
396,397,0,3,female,0,0,S,Miss,Single,0-10,16-32
397,398,0,2,male,0,0,S,Mr,Couple,25-40,32-48
398,399,0,2,male,0,0,S,Rare Title,Single,10-25,16-32
399,400,1,2,female,0,0,S,Mrs,Single,10-25,16-32
400,401,1,3,male,0,0,S,Mr,Single,0-10,32-48
401,402,0,3,male,0,0,S,Mr,Single,0-10,16-32
402,403,0,3,female,1,0,S,Miss,Couple,0-10,16-32
403,404,0,3,male,1,0,S,Mr,Couple,10-25,16-32
404,405,0,3,female,0,0,S,Miss,Single,0-10,16-32
405,406,0,2,male,1,0,S,Mr,Couple,10-25,32-48
406,407,0,3,male,0,0,S,Mr,Single,0-10,48-64
407,408,1,2,male,1,1,S,Master,Groups,10-25,0-16
408,409,0,3,male,0,0,S,Mr,Single,0-10,16-32
409,410,0,3,female,3,1,S,Miss,Large Group,25-40,16-32
410,411,0,3,male,0,0,S,Mr,Single,0-10,16-32
411,412,0,3,male,0,0,Q,Mr,Single,0-10,16-32
412,413,1,1,female,1,0,Q,Miss,Couple,70-100,32-48
413,414,0,2,male,0,0,S,Mr,Groups,10-25,16-32
414,415,1,3,male,0,0,S,Mr,Single,0-10,32-48
415,416,0,3,female,0,0,S,Mrs,Single,0-10,16-32
416,417,1,2,female,1,1,S,Mrs,Groups,25-40,32-48
417,418,1,2,female,0,2,S,Miss,Groups,10-25,16-32
418,419,0,2,male,0,0,S,Mr,Single,10-25,16-32
419,420,0,3,female,0,2,S,Miss,Groups,10-25,0-16
420,421,0,3,male,0,0,C,Mr,Single,0-10,16-32
421,422,0,3,male,0,0,Q,Mr,Single,0-10,16-32
422,423,0,3,male,0,0,S,Mr,Single,0-10,16-32
423,424,0,3,female,1,1,S,Mrs,Groups,10-25,16-32
424,425,0,3,male,1,1,S,Mr,Groups,10-25,16-32
425,426,0,3,male,0,0,S,Mr,Single,0-10,16-32
426,427,1,2,female,1,0,S,Mrs,Couple,25-40,16-32
427,428,1,2,female,0,0,S,Miss,Couple,25-40,16-32
428,429,0,3,male,0,0,Q,Mr,Single,0-10,16-32
429,430,1,3,male,0,0,S,Mr,Single,0-10,16-32
430,431,1,1,male,0,0,S,Mr,Single,25-40,16-32
431,432,1,3,female,1,0,S,Mrs,Couple,10-25,16-32
432,433,1,2,female,1,0,S,Mrs,Couple,25-40,32-48
433,434,0,3,male,0,0,S,Mr,Single,0-10,16-32
434,435,0,1,male,1,0,S,Mr,Couple,40-70,48-64
435,436,1,1,female,1,2,S,Miss,Groups,100+,0-16
436,437,0,3,female,2,2,S,Miss,Large Group,25-40,16-32
